Date,Name,Rotation X,Rotation Y,Rotation Z,Acceleration X,Acceleration Y,Acceleration Z,Raindrop,Vibration,Soil20cm,Soil40cm,Soil60cm,CrackWidth,Temperature,Humidity,RiskScore,RiskLevel
3/13/2025 11:14,Node2,97.1,154.14,3.46,0,-0.02,-0.03,0,0,0,0,0,2.1,35,64,25,Low
3/13/2025 11:17,Node2,-50.23,58.04,126.85,-0.26,-0.12,0.05,0,0,0,0,0,2.1,35,65,25,Low
3/13/2025 11:22,Node2,-1.3,-1.49,-130.96,-0.09,0.08,-0.02,0,0,0,76,67,2.1,36,66,25,Low
3/13/2025 11:23,Node2,0.93,4.83,79.16,-0.05,-0.05,0,0,0,0,69,61,2.1,36,67,25,Low
3/13/2025 11:25,Node2,0.76,4.79,80.99,-0.06,-0.04,0,0,0,0,66,60,2.1,36,67,25,Low
3/13/2025 11:28,Node2,0.83,5,80.56,-0.05,-0.05,0,0,0,0,63,59,2.1,36,68,25,Low
3/13/2025 11:29,Node2,0.8,4.87,80.64,-0.05,-0.04,0,0,0,0,62,59,2.1,36,68,25,Low
3/13/2025 11:31,Node2,0.89,4.91,79.81,-0.05,-0.05,0,0,0,0,62,59,2.1,36,68,25,Low
3/13/2025 11:35,Node2,0.93,4.93,79.34,-0.05,-0.04,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:37,Node2,0.89,4.91,79.81,-0.05,-0.05,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:38,Node2,0.84,4.86,80.17,-0.05,-0.04,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:43,Node2,0.96,4.8,78.75,-0.05,-0.05,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:44,Node2,0.75,4.93,81.37,-0.05,-0.05,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:46,Node2,0.89,4.87,79.72,-0.05,-0.05,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:49,Node2,0.89,4.85,79.64,-0.05,-0.05,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:50,Node2,0.82,4.93,80.62,-0.05,-0.05,0,0,0,0,61,59,2.1,36,68,25,Low
3/13/2025 11:52,Node2,0.85,5.16,80.71,-0.06,-0.05,0,0,0,0,61,59,2.1,36,69,25,Low
3/13/2025 11:56,Node2,1.01,4.78,78.05,-0.05,-0.05,0,0,0,0,61,59,2.1,35,68,25,Low
3/13/2025 11:57,Node2,0.85,4.87,80.17,-0.05,-0.05,0,0,0,0,61,59,2.1,35,69,25,Low
3/13/2025 11:59,Node2,0.87,4.87,79.88,-0.05,-0.05,0,0,0,0,61,59,2.1,35,69,25,Low
3/13/2025 12:02,Node2,0.92,4.93,79.5,-0.05,-0.05,0,0,0,0,61,59,2.1,35,69,25,Low
3/13/2025 12:03,Node2,0.91,4.84,79.35,-0.05,-0.05,0,0,0,0,61,59,2.1,35,69,25,Low
3/13/2025 12:05,Node2,0.96,4.78,78.72,-0.05,-0.04,0,0,0,0,61,59,2.1,35,69,25,Low
3/13/2025 12:06,Node2,0.9,5,79.79,-0.05,-0.05,0,0,0,0,64,60,2.1,35,69,25,Low
3/13/2025 12:09,Node2,0.93,5.02,79.54,-0.05,-0.05,0,0,0,0,63,60,2.1,35,69,25,Low
3/13/2025 12:11,Node2,0.89,4.99,79.95,-0.05,-0.05,0,0,0,0,63,60,2.1,35,69,25,Low
3/13/2025 12:12,Node2,0.89,5.08,80.13,-0.05,-0.04,0,0,0,0,63,60,2.1,35,69,25,Low
3/13/2025 12:17,Node2,0.96,5,79.18,-0.05,-0.05,0,0,0,0,62,60,2.1,35,69,25,Low
3/13/2025 12:18,Node2,0.87,4.9,79.94,-0.05,-0.05,0,0,0,0,63,60,2.1,35,70,25,Low
3/13/2025 12:20,Node2,0.67,4.68,81.92,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:23,Node2,0.9,5.05,79.93,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:24,Node2,0.87,4.92,79.96,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:26,Node2,0.8,5,80.9,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:27,Node2,0.9,4.96,79.74,-0.05,-0.04,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:30,Node2,0.76,5.09,81.48,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:32,Node2,0.82,5.06,80.84,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:33,Node2,0.82,4.96,80.67,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:37,Node2,0.89,5.01,79.97,-0.05,-0.04,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:39,Node2,0.78,5.05,81.3,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:40,Node2,0.87,5.01,80.15,-0.05,-0.05,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:43,Node2,1,5.04,78.81,-0.05,-0.04,0,0,0,0,62,60,2.1,35,70,25,Low
3/13/2025 12:45,Node2,0.89,4.99,79.92,-0.05,-0.05,0,0,0,0,62,60,2.1,36,70,25,Low
3/13/2025 12:46,Node2,0.84,4.93,80.3,-0.05,-0.05,0,0,0,0,62,60,2.1,36,70,25,Low
3/13/2025 12:48,Node2,0.92,4.96,79.55,-0.05,-0.05,0,0,0,0,62,60,2.1,36,70,25,Low
